indice_metronomo,tiempo_metronomo,amplitud_tambor,indice_tambor,tiempo_tambor,diferencia,repetido,sin_asignacion,frecuencia,audio
0,3.786875,,,,,0,1,1,1
1,4.54725,0.32080725,0,4.569625,0.022375000000000256,0,0,1,1
2,5.59475,0.3821657,1,5.475875,-0.11887500000000006,0,0,1,1
3,6.546,0.30466652,2,6.4085,-0.13750000000000018,0,0,1,1
4,7.546,0.34649605,3,7.432,-0.11399999999999988,0,0,1,1
5,8.546,0.37155157,4,8.392,-0.15399999999999991,0,0,1,1
6,9.546,0.34452912,5,9.375625,-0.17037499999999994,0,0,1,1
7,10.5485,0.37632883,6,10.372625,-0.17587500000000134,0,0,1,1
8,11.5485,0.38488406,7,11.38325,-0.16525000000000034,0,0,1,1
9,12.5485,0.3529715,8,12.421125,-0.12737500000000068,0,0,1,1
10,13.546,0.3823661,9,13.3765,-0.16949999999999932,0,0,1,1
11,14.546,0.3521311,10,14.336,-0.20999999999999908,0,0,1,1
12,15.546,0.39130458,11,15.279875,-0.26612499999999883,0,0,1,1
13,16.546,0.31083623,12,16.352125,-0.19387499999999847,0,0,1,1
14,17.546,0.30454907,13,17.395625,-0.15037500000000037,0,0,1,1
15,18.546,0.35209242,14,18.3585,-0.1875,0,0,1,1
16,19.546,0.36991826,15,19.312875,-0.23312500000000114,0,0,1,1
17,20.546,0.32709047,16,20.320125,-0.2258749999999985,0,0,1,1
18,21.546,0.31295305,17,21.27575,-0.27025000000000077,0,0,1,1
19,22.546,0.25992212,18,22.33775,-0.2082499999999996,0,0,1,1
20,23.529625,0.34793952,19,23.335375,-0.19425000000000026,0,0,1,1
21,24.425125,0.29294205,20,24.3325,-0.09262500000000173,0,0,1,1
22,25.309875,0.23504087,21,25.31675,0.0068749999999973,0,0,2,1
23,26.21625,0.36260018,22,26.194875,-0.021374999999999034,0,0,2,1
24,27.11425,0.32371515,23,27.03425,-0.0799999999999983,0,0,2,1
25,28.00725,0.2981733,24,27.89875,-0.10849999999999937,0,0,2,1
26,28.90275,0.3191969,25,28.744,-0.15875000000000128,0,0,2,1
27,29.798375,0.21637264,26,29.650875,-0.14750000000000085,0,0,2,1
28,30.693875,0.20553681,27,30.52625,-0.16762499999999747,0,0,2,1
29,31.589375,0.24832387,28,31.444625,-0.14475000000000193,0,0,2,1
30,32.484875,0.2774254,29,32.383125,-0.10175000000000267,0,0,2,1
31,33.388,0.40262854,30,33.247125,-0.1408750000000012,0,0,2,1
32,34.2785,0.25665817,31,34.156875,-0.12162500000000165,0,0,2,1
33,34.88825,0.34000447,32,35.03625,0.14800000000000324,0,0,3,1
34,35.5005,0.36839348,33,35.642,0.14150000000000063,0,0,3,1
35,36.11275,0.13369109,34,36.13375,0.021000000000000796,0,0,3,1
36,36.7275,0.24054772,35,36.65925,-0.06824999999999903,0,0,3,1
37,37.33725,0.27092946,36,37.205125,-0.13212499999999494,0,0,3,1
38,37.9495,0.1928592,37,37.8085,-0.14099999999999824,0,0,3,1
39,38.561625,0.23994564,38,38.401,-0.16062499999999602,0,0,3,1
40,39.18025,0.29383734,39,39.052875,-0.12737500000000068,0,0,3,1
41,39.786125,0.18984112,40,39.668625,-0.11749999999999972,0,0,3,1
42,40.388875,0.3098731,41,40.2845,-0.10437499999999744,0,0,3,1
43,41.0195,0.29511935,42,40.893125,-0.126375000000003,0,0,3,1
44,41.613375,0.3294922,43,41.513125,-0.10024999999999551,0,0,3,1
45,42.235125,0.19105428,44,42.142875,-0.09224999999999994,0,0,3,1
46,42.847375,0.2698271,45,42.716875,-0.13049999999999784,0,0,3,1
47,43.462125,0.24678427,46,43.32925,-0.13287499999999852,0,0,3,1
48,44.071875,0.25833267,47,43.9305,-0.14137499999999648,0,0,3,1
49,44.686625,0.33783486,48,44.531875,-0.15474999999999994,0,0,3,1
50,45.296375,0.19676149,49,45.167625,-0.1287499999999966,0,0,3,1
51,45.908625,0.2901371,50,45.727625,-0.18099999999999739,0,0,3,1
52,46.520875,0.26965132,51,46.319,-0.20187499999999403,0,0,3,1
53,47.133125,0.27431053,52,46.951,-0.1821249999999992,0,0,3,1
54,47.745375,0.2686839,53,47.589375,-0.1560000000000059,0,0,3,1
55,48.357625,0.24416478,54,48.159875,-0.1977499999999992,0,0,3,1
56,48.972375,0.2262826,55,48.74825,-0.2241250000000008,0,0,3,1
57,49.582125,0.26318738,56,49.296625,-0.285499999999999,0,0,3,1
58,50.194375,,,,,0,1,3,1
59,50.806625,0.33943588,57,50.563,-0.24362499999999443,0,0,3,1
60,51.418875,0.2755068,58,51.19075,-0.22812499999999858,0,0,3,1
61,52.031125,0.33358705,59,51.779625,-0.25150000000000006,0,0,3,1
62,52.643375,0.25706747,60,52.946375,0.3030000000000044,0,0,3,1
63,53.255625,0.2889786,61,53.55775,0.30212499999999665,0,0,3,1
64,53.867875,,,,,0,1,3,1
65,54.480125,0.33772832,62,54.198125,-0.2820000000000036,0,0,3,1
66,55.092375,0.19910297,63,54.8225,-0.269874999999999,0,0,3,1
67,55.704625,0.14943391,64,55.4525,-0.2521249999999995,0,0,4,1
68,56.221375,0.21162416,65,56.21875,-0.002625000000001876,0,0,4,1
69,56.75725,0.27323967,66,56.77,0.012750000000004036,0,0,4,1
70,57.284875,0.29627818,67,57.22225,-0.06262499999999704,0,0,4,1
71,57.811125,0.28613302,68,57.687375,-0.12374999999999403,0,0,4,1
72,58.326625,0.20356728,69,58.14325,-0.18337499999999807,0,0,4,1
73,58.8625,0.27610967,70,58.6225,0.23999999999999488,1,0,4,1
73,58.8625,0.30011252,71,59.102125,0.23962500000000375,0,0,4,1
74,59.388875,0.2692551,72,59.58225,0.19337500000000318,0,0,4,1
75,59.915125,0.24182124,73,60.046125,0.13100000000000023,0,0,4,1
76,60.4415,0.16034289,74,60.525375,0.08387499999999903,0,0,4,1
77,60.96775,0.21051447,75,60.992625,0.02487499999999443,0,0,4,1
78,61.496625,0.3010848,76,61.453375,-0.043250000000000455,0,0,4,1
79,62.010875,0.25784624,77,61.929125,-0.08174999999999955,0,0,4,1
80,62.548,0.3100776,78,62.39325,-0.15474999999999994,0,0,4,1
81,63.073125,0.28244516,79,62.842875,0.23024999999999807,1,0,4,1
81,63.073125,0.26732564,80,63.284,0.21087500000000148,0,0,4,1
82,63.599375,0.23587734,81,63.7055,0.10612499999999869,0,0,4,1
83,64.116125,0.18993407,82,64.166875,0.050750000000007844,0,0,4,1
84,64.65325,0.31679055,83,64.5985,-0.05474999999999852,0,0,4,1
85,65.179625,0.36230132,84,65.054875,-0.12475000000000591,0,0,4,1
86,65.704625,0.27453104,85,65.497875,-0.20674999999999955,0,0,4,1
87,66.231,0.29393893,86,65.969,0.26200000000000045,1,0,4,1
87,66.231,0.24961306,87,66.415625,0.18462500000001114,0,0,4,1
88,66.75725,0.2497841,88,66.86325,0.10599999999999454,0,0,4,1
89,67.286125,0.31146488,89,67.32175,0.03562499999999602,0,0,5,1
90,67.706125,0.23580569,90,67.771125,0.06499999999999773,0,0,5,1
91,68.128625,0.25919467,91,68.22,0.09137499999999932,0,0,5,1
